Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true,is_penalty_day,ohlc_flag_high_low_ok,ml_imputed_mask,sent_missing_or_neutral_mask,y_true_orig,volume_log1p,volume_winsor_p99
2023-10-18,28328.341796875,28889.009765625,28174.251953125,28413.53125,12724128586,62.57636031103859,290.69528507569703,205.59951399690607,27532.10458984375,27468.669955086767,28657.08779577509,26407.12138391241,658.7650669642857,141.84630943364675,0.12,0.282376,0.5185491025447846,0.1482958333333333,0.5692083333333333,0.2825,1,,,,,,,
2023-10-19,28719.806640625,28892.474609375,28177.98828125,28332.416015625,14448058195,66.01249723837506,353.8235271548256,235.24431662849,27622.50888671875,27587.82582989993,28825.473690980645,26419.544082456858,658.6383928571429,146.93170008464816,0.4,0.261615,0.5162095367908478,0.09757,0.6880275,0.2144025,1,,,,,,,
2023-10-20,29682.94921875,30104.0859375,28601.669921875,28732.8125,21536125230,72.66304081243204,476.0826857036591,283.41199044352385,27758.260546875,27787.36139074279,29232.402066301525,26284.11902744848,691.8835100446429,225.24842683986105,0.4,0.229117,0.5121192395687103,0.1596693548387096,0.4840290322580645,0.3563048387096774,1,,,,,,,
2023-10-21,29918.412109375,30287.482421875,29481.751953125,29683.380859375,11541146996,74.00237259513233,585.2276965173769,343.77513165829447,27854.99365234375,27990.31860204109,29617.196591686803,26092.790713000697,738.1736886160714,218.2346914796156,0.459016,0.202555,0.5102454006671906,1.4285714285714289e-05,0.9996,0.0003857142857142,1,,,,,,,
2023-10-22,29993.896484375,30199.43359375,29720.3125,29918.654296875,10446520040,74.43479337261503,670.0924534623991,409.03859601911546,27978.14921875,28181.13554321575,29973.77097926707,25982.527458232933,746.5746372767857,180.64900694274905,0.459016,0.195235,0.5112869739532471,0.0,0.5644333333333333,0.4355666666666666,1,,,,,,,
2023-10-23,33086.234375,34370.4375,30097.828125,30140.685546875,38363572311,85.25495146557824,975.6277790565,522.3564326265926,28260.96201171875,28648.28781290949,31273.542155361472,25248.38186807603,1010.1198381696428,288.3552592280621,0.459016,0.196277,0.3896967053413391,0.1621,0.5611441860465116,0.2767511627906976,1,,,,,,,
2023-10-24,33901.52734375,35150.43359375,32880.76171875,33077.3046875,44934999645,86.83677503094623,1268.9266581082156,671.6704777229172,28566.06865234375,29148.596339656204,32482.30791474308,24649.829389944425,1142.654017857143,274.28152011023747,0.459016,0.192049,0.4296967059373855,0.0635218045112781,0.4835616541353383,0.4529157894736842,1,,,,,,,
2023-10-25,34502.8203125,35133.7578125,33709.109375,33916.04296875,25254318008,87.87029568688813,1532.2249151788385,843.7813652141016,28920.4140625,29658.522432308,33605.47125181017,24235.35687318983,1179.19921875,218.1272188425241,0.459016,0.160025,0.3292894691228866,0.2613281249999999,0.3796052083333334,0.359065625,0,,,,,,,
2023-10-26,34156.6484375,34832.91015625,33762.32421875,34504.2890625,19427195376,83.79136378804625,1693.436620403074,1013.712416251896,29230.9166015625,30086.915385183423,34438.25877887778,24023.574424247217,1229.732561383929,167.15383947037765,0.4,0.159553,0.5049252033233642,0.0671229508196721,0.483555737704918,0.4493131147540983,0,,,,,,,
2023-10-27,33909.80078125,34238.2109375,33416.88671875,34156.5,16418032871,80.90724149152871,1780.752113508639,1167.1203557032447,29527.9646484375,30450.999708618336,35097.379777923394,23958.549518951608,1259.371791294643,129.39384128642988,0.4,0.161821,0.5101773083209992,0.132831914893617,0.6273297872340425,0.239831914893617,1,,,,,,,
