Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true
2025-03-25,87471.703125,88542.398438,86346.078125,87512.820312,30005840049,52.068245,-967.816810,-1850.078817,84362.576563,85703.453531,89733.243890,78991.909235,2869.008371,105.644732,0.440000,0.262867,,,,,0
2025-03-26,86900.882812,88292.156250,85861.453125,87460.234375,26704046038,50.880178,-774.177622,-1634.898578,84209.534375,85817.495450,89057.396638,79361.672112,2776.678013,106.687516,0.440000,0.244508,,,,,1
2025-03-27,87177.101562,87786.726562,85837.937500,86896.257812,24413471941,51.457382,-591.611503,-1426.241163,84231.255859,85946.982810,89130.528275,79331.983444,2603.745536,106.760927,0.440000,0.239492,,,,,0
2025-03-28,84353.148438,87489.859375,83557.640625,87185.234375,34198619509,45.562569,-667.082254,-1274.409381,84141.183594,85795.187933,88957.100238,79325.266949,2565.637835,39.668336,0.440000,0.251112,,,,,0
2025-03-29,82597.585938,84567.335938,81634.140625,84352.070312,16969396135,42.317070,-858.640660,-1191.255637,84241.010938,85490.652362,88825.142900,79656.878975,2701.360491,-50.666489,0.440000,0.242476,,,,,0
2025-03-30,82334.523438,83505.000000,81573.250000,82596.984375,14763760943,41.836172,-1019.919774,-1156.988464,84431.137109,85190.066826,88273.742921,80588.531297,2622.650112,-79.727267,0.516129,0.230440,,,,,1
2025-03-31,82548.914062,83870.125000,81293.890625,82336.062500,29004228247,42.410568,-1117.553787,-1149.101529,84415.472266,84938.527083,88287.450375,80543.494156,2647.154576,-82.069840,0.440000,0.244134,,,,,1
2025-04-01,85169.171875,85487.367188,82429.359375,82551.921875,28175650319,49.035062,-972.304594,-1113.742142,84487.812891,84960.493363,88359.328658,80616.297123,2658.746094,-4.160504,,,,,,,0
2025-04-02,82485.710938,88466.953125,82343.539062,85180.609375,47584398470,43.514539,-1061.474820,-1103.288677,84558.763281,84724.798737,88212.161242,80905.365320,2778.171317,-7.734754,0.545455,0.442527,,,,,1
2025-04-03,83102.828125,83909.296875,81282.101562,82487.476562,36852112080,45.046768,-1070.015317,-1096.634005,84515.449609,84570.324716,88218.486170,80812.413049,2694.680246,-90.011190,0.436364,0.440562,,,,,1
2025-04-04,83843.804688,84696.148438,81670.750000,83100.250000,45157640207,46.908983,-1005.406957,-1078.388596,84490.484375,84501.132077,88205.127359,80775.841391,2795.694196,-54.488694,0.436364,0.440627,,,,,0
2025-04-05,83504.796875,84207.015625,82377.734375,83844.703125,14380803631,46.138627,-970.371989,-1056.785274,84536.739844,84406.242694,88173.420319,80900.059369,2866.421875,-57.078410,0.436364,0.441183,,,,,0
2025-04-06,78214.484375,83704.718750,77097.742188,83504.507812,36294853736,36.159119,-1353.861422,-1116.200504,84243.679688,83816.549645,88851.716671,79635.642704,3174.072545,-202.091612,0.481818,0.445638,,,,,1
2025-04-07,79235.335938,81119.062500,74436.679688,78221.335938,91262424987,38.905208,-1557.455703,-1204.451544,84069.521484,83380.242386,89158.461720,78980.581248,3421.561942,-221.990903,0.545455,0.442490,,,,,0
