Date,close,ret,open,high,low,volume,SMA20,EMA20,RSI,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,ATR,CCI,proba_lstm,signal,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_pos,proba_sentiment_neu,proba_sentiment_neg
2025-01-06,102078.085938,0.038276,98314.953125,102482.875000,97926.148438,51823432705,96652.494922,97440.829255,61.702578,-20.918407,-673.513099,101643.259619,91661.730225,3142.255580,141.158393,0.401945,0.000000,0.545455,0.489527,0.499450,0.515500,0.445900,0.038600
2025-01-07,96922.703125,-0.050504,102248.851562,102712.484375,96132.875000,58685738547,96496.553125,97390.358413,48.762329,-63.941789,-551.573511,101229.700818,91763.405432,3186.795759,78.662591,0.421817,0.000000,0.545455,0.515848,0.503800,0.574557,0.233623,0.191819
2025-01-08,95043.523438,-0.019388,96924.164062,97258.320312,92525.843750,63875859171,96374.181641,97162.247933,45.053318,-239.930725,-489.234596,101125.596542,91622.766739,3390.166853,-51.624959,0.422866,0.000000,0.545455,0.522583,0.507282,0.236324,0.605461,0.158216
2025-01-09,92484.039062,-0.026930,95043.484375,95349.718750,91220.843750,62777261693,96110.587109,96708.419781,40.531292,-570.446031,-505.479042,101117.320933,91103.853285,3346.037388,-110.154478,0.425271,0.000000,0.576923,0.534491,0.506458,0.223600,0.404100,0.372300
2025-01-10,94701.453125,0.023976,92494.492188,95770.609375,92250.093750,62058693684,95984.423437,96514.070209,45.623397,-652.689863,-534.924338,101000.105759,90968.741116,3312.924107,-60.959253,0.418996,0.000000,0.576923,0.521310,0.506621,0.265400,0.548900,0.185700
2025-01-11,94566.593750,-0.001424,94700.835938,94977.687500,93840.046875,18860894100,95957.506250,96325.782660,45.368956,-719.958500,-571.934319,100998.774538,90916.237962,3286.212054,-49.941468,0.429381,0.000000,0.545455,0.524613,0.505369,0.482548,0.517452,0.000000
2025-01-12,94488.437500,-0.000826,94565.726562,95367.539062,93712.507812,20885130965,95947.616016,96148.399191,45.211588,-770.398666,-611.629890,101000.149046,90895.082985,3240.636719,-47.890385,0.430063,0.000000,0.545455,0.524510,0.498866,0.250000,0.747800,0.002200
2025-01-13,94516.523438,0.000297,94488.890625,95837.000000,89260.101562,72978998252,95739.637500,95991.057799,45.285035,-798.897354,-649.085422,100659.987542,90819.287458,3454.258929,-84.968170,0.438475,0.000000,0.576923,0.530336,0.508978,0.182100,0.518400,0.299500
2025-01-14,96534.046875,0.021346,94519.007812,97352.664062,94322.156250,53769675818,95601.380078,96043.349778,50.426088,-655.787565,-650.425909,100248.395956,90954.364200,3372.397321,18.038280,0.429980,0.000000,0.545455,0.511714,0.502251,0.229700,0.649400,0.120900
2025-01-15,100504.492188,0.041130,96534.046875,100697.234375,96501.640625,57805923627,95836.828906,96472.517881,58.658665,-227.988445,-565.935472,100976.339234,90697.318579,3519.101004,121.284206,0.413008,0.000000,0.545455,0.496949,0.501825,0.453200,0.365400,0.181400
2025-01-16,99756.906250,-0.007438,100505.296875,100781.585938,97364.445312,54103781805,96116.431250,96788.176537,56.747765,51.487209,-442.447493,101476.658372,90756.204128,3510.450335,107.060793,0.397692,0.000000,0.545455,0.506073,0.510500,0.304000,0.686800,0.009200
2025-01-17,104462.039062,0.047166,100025.765625,105884.226562,99948.906250,71888972663,96581.336719,97525.060712,64.570612,636.460037,-226.661175,103084.717765,90077.955672,3739.380580,191.563729,0.380819,0.000000,0.545455,0.486559,0.513444,0.455500,0.491200,0.053300
2025-01-18,104408.070312,-0.000517,104124.953125,104913.203125,102226.617188,50445655726,97125.228906,98185.483257,64.426674,1083.112838,35.298301,104335.286870,89915.170942,3847.604353,168.742063,0.387803,0.000000,0.478261,0.495736,0.511351,0.330700,0.658500,0.010800
2025-01-19,101089.609375,-0.031784,104411.289062,106299.796875,99570.531250,76789928525,97547.548828,98463.935077,56.139776,1161.070139,260.455882,104640.750768,90454.346888,4219.584821,117.275631,0.395739,0.000000,0.545455,0.512115,0.515164,0.528547,0.461954,0.009499
