date,proba_rfc_cal,proba_sgd_cal,y_true,month
2021-06-27,0.478261,0.580877,0,2021-06
2021-06-28,0.478261,0.589126,1,2021-06
2021-06-29,0.478261,0.580077,0,2021-06
2021-06-30,0.478261,0.587562,0,2021-06
2021-07-02,0.431818,0.463360,1,2021-07
2021-07-03,0.431818,0.454914,1,2021-07
2021-07-04,0.431818,0.454536,0,2021-07
2021-07-05,0.431818,0.452297,1,2021-07
2021-07-06,0.431818,0.457093,0,2021-07
2021-07-07,0.431818,0.454109,0,2021-07
2021-07-08,0.431818,0.456079,1,2021-07
2021-07-09,0.431818,0.457431,0,2021-07
2021-07-10,0.431818,0.451301,1,2021-07
2021-07-11,0.431818,0.450309,0,2021-07
2021-07-12,0.431818,0.449318,0,2021-07
2021-07-13,0.431818,0.448166,1,2021-07
2021-07-14,0.431818,0.450327,0,2021-07
2021-07-15,0.431818,0.448538,0,2021-07
2021-07-16,0.431818,0.452078,1,2021-07
2021-07-17,0.431818,0.450267,1,2021-07
2021-07-18,0.431818,0.449847,0,2021-07
2021-07-19,0.444444,0.450203,0,2021-07
2021-07-20,0.431818,0.454036,1,2021-07
2021-07-21,0.431818,0.459236,1,2021-07
2021-07-22,0.333333,0.447907,1,2021-07
2021-07-23,0.431818,0.450393,1,2021-07
2021-07-24,0.431818,0.447207,1,2021-07
2021-07-25,0.431818,0.444884,1,2021-07
2021-07-26,0.444444,0.461605,1,2021-07
2021-07-27,0.431818,0.447426,1,2021-07
2021-07-28,0.431818,0.440517,1,2021-07
2021-07-29,0.431818,0.427462,1,2021-07
2021-07-30,0.444444,0.430964,0,2021-07
2021-07-31,0.444444,0.415447,0,2021-07
2021-08-02,0.516854,0.522923,0,2021-08
2021-08-03,0.516854,0.522245,1,2021-08
2021-08-04,0.516854,0.522422,1,2021-08
2021-08-05,0.516854,0.523875,1,2021-08
2021-08-06,0.516854,0.525244,1,2021-08
2021-08-07,0.516854,0.526741,0,2021-08
2021-08-08,0.516854,0.526689,1,2021-08
2021-08-09,0.516854,0.528432,0,2021-08
2021-08-10,0.516854,0.528231,1,2021-08
2021-08-11,0.516854,0.528561,0,2021-08
2021-08-12,0.516854,0.528014,1,2021-08
2021-08-13,0.516854,0.529092,0,2021-08
2021-08-14,0.516854,0.529116,0,2021-08
2021-08-15,0.516854,0.529098,0,2021-08
2021-08-16,0.516854,0.528662,0,2021-08
2021-08-17,0.516854,0.527637,1,2021-08
2021-08-18,0.000000,0.526770,1,2021-08
2021-08-19,0.516854,0.527505,1,2021-08
2021-08-20,0.516854,0.528318,0,2021-08
2021-08-21,0.516854,0.529074,1,2021-08
2021-08-22,0.516854,0.527789,1,2021-08
2021-08-23,0.516854,0.528848,0,2021-08
2021-08-24,0.516854,0.528038,1,2021-08
2021-08-25,0.516854,0.527789,0,2021-08
2021-08-26,0.516854,0.526561,1,2021-08
2021-08-27,0.516854,0.526985,0,2021-08
2021-08-28,0.516854,0.526099,0,2021-08
2021-08-29,0.516854,0.525501,0,2021-08
2021-08-30,0.516854,0.524921,1,2021-08
2021-08-31,0.516854,0.524504,1,2021-08
2021-09-02,0.666667,0.379576,1,2021-09
2021-09-03,0.666667,0.376341,0,2021-09
2021-09-04,0.666667,0.395907,1,2021-09
2021-09-05,0.518519,0.384636,1,2021-09
2021-09-06,0.518519,0.378275,0,2021-09
2021-09-07,0.666667,0.497851,0,2021-09
2021-09-08,0.666667,0.373693,1,2021-09
2021-09-09,0.666667,0.354900,0,2021-09
2021-09-10,0.666667,0.410404,1,2021-09
2021-09-11,0.666667,0.372174,1,2021-09
2021-09-12,0.666667,0.389144,0,2021-09
2021-09-13,0.518519,0.410202,1,2021-09
2021-09-14,0.518519,0.347236,1,2021-09
2021-09-15,0.518519,0.383841,0,2021-09
2021-09-16,0.518519,0.409940,0,2021-09
2021-09-17,0.518519,0.416229,1,2021-09
2021-09-18,0.518519,0.387031,0,2021-09
2021-09-19,0.518519,0.431660,0,2021-09
2021-09-20,0.518519,0.484624,0,2021-09
2021-09-21,0.518519,0.432085,1,2021-09
2021-09-22,0.518519,0.349712,1,2021-09
2021-09-23,0.518519,0.385851,0,2021-09
2021-09-24,0.518519,0.465553,0,2021-09
2021-09-25,0.518519,0.429154,1,2021-09
2021-09-26,0.518519,0.433804,0,2021-09
2021-09-27,0.518519,0.446556,0,2021-09
2021-09-28,0.518519,0.457911,1,2021-09
2021-09-29,0.518519,0.420787,1,2021-09
2021-09-30,0.518519,0.396882,1,2021-09
2021-10-02,0.500000,0.523079,1,2021-10
2021-10-03,0.503273,0.523282,1,2021-10
2021-10-04,0.510638,0.518889,1,2021-10
2021-10-05,0.510638,0.504534,1,2021-10
2021-10-06,0.510638,0.486494,0,2021-10
2021-10-07,0.510638,0.509523,1,2021-10
2021-10-08,0.538462,0.499654,1,2021-10
2021-10-09,0.625000,0.498232,0,2021-10
2021-10-10,0.625000,0.496880,1,2021-10
2021-10-11,0.510638,0.480945,0,2021-10
2021-10-12,0.625000,0.503215,1,2021-10
2021-10-13,0.538462,0.488252,0,2021-10
2021-10-14,0.510638,0.488109,1,2021-10
2021-10-15,0.500000,0.458562,0,2021-10
2021-10-16,0.500000,0.484814,1,2021-10
2021-10-17,0.500000,0.486818,1,2021-10
2021-10-18,0.500000,0.477580,1,2021-10
2021-10-19,0.500000,0.461199,1,2021-10
2021-10-20,0.500000,0.457814,0,2021-10
2021-10-21,0.500000,0.479181,0,2021-10
2021-10-22,0.500000,0.474465,1,2021-10
2021-10-23,0.500000,0.472627,0,2021-10
2021-10-24,0.500000,0.478655,1,2021-10
2021-10-25,0.500000,0.459548,0,2021-10
2021-10-26,0.500000,0.480459,0,2021-10
2021-10-27,0.500000,0.470322,1,2021-10
2021-10-28,0.500000,0.449561,1,2021-10
2021-10-29,0.500000,0.453807,0,2021-10
2021-10-30,0.500000,0.465991,0,2021-10
2021-10-31,0.500000,0.469086,0,2021-10
2021-11-02,0.000000,0.544255,0,2021-11
2021-11-03,0.333333,0.537560,0,2021-11
2021-11-04,0.500000,0.535793,0,2021-11
2021-11-05,0.500000,0.542351,1,2021-11
2021-11-06,0.500000,0.545473,1,2021-11
2021-11-07,0.000000,0.551993,1,2021-11
2021-11-08,0.523148,0.559788,0,2021-11
2021-11-09,0.555556,0.547877,0,2021-11
2021-11-10,0.509259,0.539007,0,2021-11
2021-11-11,0.500000,0.547792,0,2021-11
2021-11-12,0.555556,0.543190,1,2021-11
2021-11-13,0.555556,0.548870,1,2021-11
2021-11-14,0.500000,0.551440,0,2021-11
2021-11-15,0.555556,0.543461,0,2021-11
2021-11-16,0.555556,0.535325,1,2021-11
2021-11-17,0.555556,0.550791,0,2021-11
2021-11-18,0.555556,0.541547,1,2021-11
2021-11-19,0.555556,0.559780,1,2021-11
2021-11-20,0.555556,0.566173,0,2021-11
2021-11-21,0.555556,0.563410,0,2021-11
2021-11-22,0.555556,0.559522,1,2021-11
2021-11-23,0.555556,0.574892,0,2021-11
2021-11-24,0.555556,0.571117,1,2021-11
2021-11-25,0.555556,0.580134,0,2021-11
2021-11-26,0.555556,0.561365,1,2021-11
2021-11-27,0.555556,0.586721,1,2021-11
2021-11-28,0.555556,0.591027,1,2021-11
2021-11-29,0.555556,0.590601,0,2021-11
2021-11-30,0.555556,0.586346,1,2021-11
2021-12-02,0.555556,0.597876,0,2021-12
2021-12-03,0.555556,0.624204,0,2021-12
2021-12-04,0.555556,0.667533,1,2021-12
2021-12-05,0.555556,0.621613,1,2021-12
2021-12-06,0.555556,0.626097,1,2021-12
2021-12-07,0.555556,0.631259,0,2021-12
2021-12-08,0.555556,0.641985,0,2021-12
2021-12-09,0.428571,0.669148,0,2021-12
2021-12-10,0.428571,0.650407,1,2021-12
2021-12-11,0.555556,0.638827,1,2021-12
2021-12-12,0.555556,0.647546,0,2021-12
2021-12-13,0.555556,0.685298,0,2021-12
2021-12-14,0.428571,0.652001,1,2021-12
2021-12-15,0.428571,0.653233,0,2021-12
2021-12-16,0.555556,0.663331,0,2021-12
2021-12-17,0.428571,0.665532,1,2021-12
2021-12-18,0.555556,0.648969,0,2021-12
2021-12-19,0.555556,0.651208,1,2021-12
2021-12-20,0.555556,0.647495,1,2021-12
2021-12-21,0.555556,0.629622,0,2021-12
2021-12-22,0.555556,0.639618,1,2021-12
2021-12-23,0.555556,0.614825,1,2021-12
2021-12-24,0.555556,0.619100,0,2021-12
2021-12-25,0.555556,0.616164,1,2021-12
2021-12-26,0.555556,0.603932,0,2021-12
2021-12-27,0.555556,0.597988,0,2021-12
2021-12-28,0.555556,0.622215,0,2021-12
2021-12-29,0.555556,0.606736,1,2021-12
2021-12-30,0.555556,0.595640,0,2021-12
2021-12-31,0.555556,0.608268,1,2021-12
2022-01-02,0.611111,0.514430,0,2022-01
2022-01-03,0.611111,0.514169,0,2022-01
2022-01-04,0.500000,0.513042,0,2022-01
2022-01-05,0.500000,0.516206,0,2022-01
2022-01-06,0.611111,0.517146,0,2022-01
